1 minute time series of wind speed from a met tower
timestamp	Un1	Uw1	Uz1
5/19/12 12:19 PM	-11.37	-2.534	0.207
5/19/12 12:19 PM	-11.67	-2.509	0.148
5/19/12 12:19 PM	-11.22	-2.432	0.169
5/19/12 12:19 PM	-10.61	-2.637	0.208
5/19/12 12:19 PM	-11.21	-2.394	0.185
5/19/12 12:19 PM	-11.18	-2.419	0.097
5/19/12 12:19 PM	-11.12	-2.611	0.313
5/19/12 12:19 PM	-11.65	-2.508	0.13
5/19/12 12:19 PM	-11.33	-2.317	0.209
5/19/12 12:19 PM	-11.44	-2.468	0.269
5/19/12 12:19 PM	-11.5	-2.609	0.048
5/19/12 12:19 PM	-11.26	-2.471	0.001
5/19/12 12:19 PM	-11.35	-2.171	0.023
5/19/12 12:19 PM	-11.52	-2.533	0.052
5/19/12 12:19 PM	-11.35	-2.356	0.017
5/19/12 12:19 PM	-11.23	-2.192	-0.057
5/19/12 12:19 PM	-11.1	-1.853	0.063
5/19/12 12:19 PM	-10.86	-2.183	-0.024
5/19/12 12:19 PM	-11.01	-2.131	0.141
5/19/12 12:19 PM	-10.88	-2.001	0.105
5/19/12 12:19 PM	-11.03	-1.996	0.1
5/19/12 12:19 PM	-10.92	-2.252	0.353
5/19/12 12:19 PM	-11.03	-2.331	0.542
5/19/12 12:19 PM	-11.05	-2.15	0.192
5/19/12 12:19 PM	-11.65	-1.983	0.334
5/19/12 12:19 PM	-10.83	-2.049	0.091
5/19/12 12:19 PM	-11.44	-2.247	0.203
5/19/12 12:19 PM	-11.48	-2.092	0.354
5/19/12 12:19 PM	-11.59	-2.084	0.17
5/19/12 12:19 PM	-11.41	-2.625	-0.048
5/19/12 12:19 PM	-11.54	-2.166	-0.034
5/19/12 12:19 PM	-11.42	-2.706	-0.216
5/19/12 12:19 PM	-11.37	-2.793	-0.285
5/19/12 12:19 PM	-11.55	-2.664	-0.198
5/19/12 12:19 PM	-11.61	-2.692	-0.243
5/19/12 12:19 PM	-11.58	-2.509	-0.336
5/19/12 12:19 PM	-11.59	-2.53	-0.342
5/19/12 12:19 PM	-11.7	-2.651	-0.249
5/19/12 12:19 PM	-11.53	-2.629	-0.198
5/19/12 12:19 PM	-12.02	-2.922	-0.002
5/19/12 12:19 PM	-11.58	-2.804	-0.131
5/19/12 12:19 PM	-12.05	-2.67	-0.229
5/19/12 12:19 PM	-12.02	-2.505	-0.212
5/19/12 12:19 PM	-12.04	-2.137	-0.419
5/19/12 12:19 PM	-11.84	-2.574	-0.586
5/19/12 12:19 PM	-11.56	-2.401	-0.318
5/19/12 12:19 PM	-11.08	-2.229	-0.13
5/19/12 12:19 PM	-11.38	-2.008	-0.293
5/19/12 12:19 PM	-11.16	-2.659	-0.367
5/19/12 12:19 PM	-11.26	-2.524	-0.258
5/19/12 12:19 PM	-11.5	-2.188	-0.221
5/19/12 12:19 PM	-10.96	-2.508	-0.223
5/19/12 12:19 PM	-11.32	-2.504	-0.173
5/19/12 12:19 PM	-11.18	-1.987	-0.396
5/19/12 12:19 PM	-11.46	-0.88	-0.553
5/19/12 12:19 PM	-11.66	-1.378	-0.458
5/19/12 12:19 PM	-11.67	-0.763	-0.633
5/19/12 12:19 PM	-11.71	-0.8	-0.783
5/19/12 12:19 PM	-11.75	-1.025	-1.06
5/19/12 12:19 PM	-12.39	-1.158	-0.768
5/19/12 12:19 PM	-11.78	-1.215	-0.792
5/19/12 12:19 PM	-11.13	-1.004	-1.099
5/19/12 12:19 PM	-10.79	-1.324	-1.104
5/19/12 12:19 PM	-11.06	-1.171	-1.014
5/19/12 12:19 PM	-11.2	-1.208	-1.108
5/19/12 12:19 PM	-11.24	-1.425	-1.033
5/19/12 12:19 PM	-11.11	-1.3	-1.152
5/19/12 12:19 PM	-11.38	-1.185	-1.033
5/19/12 12:19 PM	-11.14	-0.926	-1.089
5/19/12 12:19 PM	-11.32	-1.011	-0.983
5/19/12 12:19 PM	-11.6	-1.225	-0.563
5/19/12 12:19 PM	-11.84	-1.142	-0.553
5/19/12 12:19 PM	-11.72	-1.466	-0.376
5/19/12 12:19 PM	-12.12	-1.987	-0.858
5/19/12 12:19 PM	-11.98	-1.461	-0.798
5/19/12 12:19 PM	-12.01	-1.485	-0.842
5/19/12 12:19 PM	-12.02	-1.859	-0.947
5/19/12 12:19 PM	-11.61	-1.611	-1.212
5/19/12 12:19 PM	-11.93	-2.356	-1.017
5/19/12 12:19 PM	-12.1	-1.855	-0.668
5/19/12 12:19 PM	-11.6	-1.868	-0.583
5/19/12 12:19 PM	-11.59	-1.885	-0.625
5/19/12 12:19 PM	-11.64	-2.204	-0.688
5/19/12 12:19 PM	-11.39	-2.542	-0.856
5/19/12 12:19 PM	-11.22	-2.398	-0.614
5/19/12 12:19 PM	-11.29	-2.349	-0.804
5/19/12 12:19 PM	-11.38	-2.432	-0.649
5/19/12 12:19 PM	-11.34	-2.409	-0.724
5/19/12 12:19 PM	-11.29	-2.583	-0.38
5/19/12 12:19 PM	-11.4	-2.316	-0.275
5/19/12 12:19 PM	-11.4	-2.087	-0.114
5/19/12 12:19 PM	-11.45	-1.889	-0.005
5/19/12 12:19 PM	-11.33	-1.938	-0.28
5/19/12 12:19 PM	-11.22	-1.833	-0.341
5/19/12 12:19 PM	-11.44	-1.847	-0.195
5/19/12 12:19 PM	-11.1	-2.193	-0.278
5/19/12 12:19 PM	-11.16	-2.066	-0.122
5/19/12 12:19 PM	-10.87	-1.772	-0.431
5/19/12 12:19 PM	-10.73	-1.812	-0.603
5/19/12 12:19 PM	-10.59	-1.396	-0.216
5/19/12 12:19 PM	-10.87	-1.667	0
5/19/12 12:19 PM	-11.11	-0.982	0.046
5/19/12 12:19 PM	-11.22	-0.966	-0.118
5/19/12 12:19 PM	-11	-1.198	0.016
5/19/12 12:19 PM	-11.26	-0.99	-0.106
5/19/12 12:19 PM	-11.42	-0.95	-0.017
5/19/12 12:19 PM	-11.56	-0.809	-0.013
5/19/12 12:19 PM	-11.22	-0.808	-0.08
5/19/12 12:19 PM	-11.3	-0.979	-0.008
5/19/12 12:19 PM	-11.02	-0.672	-0.084
5/19/12 12:19 PM	-10.85	-0.77	-0.064
5/19/12 12:19 PM	-11.17	-0.724	-0.093
5/19/12 12:19 PM	-11.01	-0.7	-0.241
